,DRUG,HEADACHE,0CCIPIT,BRAIN,FOREHEAD,Unnamed: 5,TEMPROL,Unnamed: 7,VERTEX,MODALITY,VERTIGO1,VOMITING,OTHERORGANS,HEAD POSITION,NOSE,FACE,EAR,ASSOCIATED SYMPTOMS,TEETH,Unnamed: 19,EYE,Unnamed: 21,DAY,NIGHT,MIND,STOOL,SENSATION,FEMALE,SCALP,VERTIGO2,TONGUE,Unnamed: 31,SLEEP,THROAT,HEART,DISEASE,Unnamed: 36,Unnamed: 37,SWEAT,STOMACH,EXTERMITIES
29,AmylNtrosum,throbbing,,,,,,,,,,,,,,surgeBloodHeadFaceAsifBloodStartFromSkin,HypraemicThrbbing,,,,,,,,AnxietAsifSomethingMightHappenWantFreshAir,,flushFollowSweatClimacteric,,,,,,,,,,,,,,
30,Anacardium,pressingPainFHoccTempVertex,pressPainDuringMeal,,pressPainBetterDuringMeal,,preePainBetterDuringMeal,,pressPainDuringMeal,betterDuringMeal,vertigo,,,,,,,,,,,,,,,,,,itchLittleBoils,,,,,,,,,,,,
31,Anatherum,painPierceBrainPointedArrows,,PainPierceBrainPointedArrowWorseAfterNoon,,,,,,worseAfterNoon,,,scalpEyeNoseTongueSalivaCopious,,boilsTumorTipNosse,,,,,,wartLikeGrowthOnEyebrows,,,,pressPainAsFromPlugWorseAfterMentalExert,,pressPainAsplugWorseMentalExertion,,HerpesUlcerTumor,,FissureAsifEdgesCutCopiousSalivation,,,,,,,,,,
32,Anhalonium,AcheDisturbedVision,,,,,,,,,,,,,,,ExaggerateReverbarateOrdenarySounds,briliantMovingColorObjectPupilsDilate,,,pupilsDliateVertigoBrainTired,,,,,,,,,,,,,,,,,,,,
33,AngusturaVera,headacheHeatFace,,,,,PainTempMuscleOpenJaws,,,,,,faceTempJawChewMUSCLE,,,faceJawMassetor,,crampPainZygoArcMassetorFatiguePainArticulateJaw,,,,,,,,,,,,,,,,,,,,,,,
34,AntimoniumCrudum,ache,,,heavyVertigoNauseaNosebleed,,,,AcheAscendBathCandyAcidWine,,,,,,,,,,,,,,,,,,,,headacheWithHairLoss,,,,,,,,,,,,
35,AntmoniumTart,asFromBandCompresAcNit,,,bandLikeFeelFH,,,,,,AlternateDrowsyDespondency,,,,,paleSunken,,childWillNotBeTouchedWithoutWHINING,,,,,,,mutterDeliriumStuporFearAlone,,,,,dullnessConfusion,,,,,,,,,,,
36,Antipyrrine,throbbingFlushHeat,,,,,,,,,,,,,,,headacheUnderEarWithEarache,,,,,,,,,,throbingSensationConstrictFlushHeat,,,,,,,,,,,,,,
37,ApisMel,boresHeadIntoPillowScream,dullHeavyAsBlowExNeckWithSexual,wholeBrainFeelTired,,,,,,refOccBetterPRESSURE,WithSneezWorseLyingEyeClose,,,,,,,HeatThrobDistensePainBetterPressureWorse Motion,,,,,,,,,suddenStabbingPain,,,,,,,,,,,,,,
38,ApumGraveolens,headacheBetterEating,,,,,,,,,,,,,,,,,,,eyeFeelSunkenItchInnerCanthusLEFTeye,,,,DeppessEnergeticFidgetCannotSLEEPthiking,,,,,,,,cannotSleepFromTHINK,,,,,,,,
